Best seafood restaurant 	[u'Shaw\u2019s Crab House']	http://www.chicagoreader.com/chicago/best-seafood-restaurant/BestOf?oid=4092160
Best steak house 	[u'Gibsons']	http://www.chicagoreader.com/chicago/best-steak-house/BestOf?oid=4092253
Best sushi 	[u'Tank Sushi']	http://www.chicagoreader.com/chicago/best-sushi/BestOf?oid=4092254
Best taqueria 	[u'Big Star']	http://www.chicagoreader.com/chicago/best-taqueria/BestOf?oid=4092259
Best Thai 	[u'Opart Thai House']	http://www.chicagoreader.com/chicago/best-thai/BestOf?oid=4092260
Best vegetarian 	[u'Chicago Diner']	http://www.chicagoreader.com/chicago/best-vegetarian/BestOf?oid=4092261
Best Vietnamese 	[u'Tank Noodle']	http://www.chicagoreader.com/chicago/best-vietnamese/BestOf?oid=4092262
Best Italian steak house where my dad felt at home in the 60s and I do now 	[u'Gene & Georgetti']	http://www.chicagoreader.com/chicago/best-italian-steak-house-where-my-dad-felt-at-home-in-the-60s-and-i-do-nowp/BestOf?oid=4101104
Best case of nostalgia, bordering on time travel 	[u'Wormhole Coffee']	http://www.chicagoreader.com/chicago/best-case-of-nostalgia-bordering-on-time-travel/BestOf?oid=4101105
Best restaurant empire founded the same year as the <i>Reader</i> 	[u'Lettuce Entertain You Enterprises']	http://www.chicagoreader.com/chicago/best-restaurant-empire-founded-the-same-year-as-the-reader/BestOf?oid=4101106
Best restaurant 	[u'Next']	http://www.chicagoreader.com/chicago/best-restaurant/BestOf?oid=4101107
Best bargain Michelin chef 	[u'Danny Grant, Balsan']	http://www.chicagoreader.com/chicago/best-bargain-michelin-chef/BestOf?oid=4101108
Best chef downshift, animal division 	[u'Rob Levitt, the Butcher & Larder']	http://www.chicagoreader.com/chicago/best-chef-downshift-animal-division/BestOf?oid=4101109
Best chef downshift, vegetable division 	[u'Art Jackson, Pleasant House Bakery']	http://www.chicagoreader.com/chicago/best-chef-downshift-vegetable-division/BestOf?oid=4101385
Best venerable restaurant alongside the el 	"[u""Daley's Restaurant""]"	http://www.chicagoreader.com/chicago/best-venerable-restaurant-alongside-the-el/BestOf?oid=4101386
Best new food truck 	[u'The Southern Mac Truck']	http://www.chicagoreader.com/chicago/best-new-food-truckfood/BestOf?oid=4101387
Best buffet 	"[u""Ruby's Fast Food""]"	http://www.chicagoreader.com/chicago/best-buffet/BestOf?oid=4101388
Best game day 	[u'Harvard Hunting Club Game Dinner']	http://www.chicagoreader.com/chicago/best-game-day/BestOf?oid=4101389
Best dairy product to camp out in front of the cheese shop for 	"[u""Uplands Cheese's Rush Creek Reserve""]"	http://www.chicagoreader.com/chicago/best-dairy-product-to-camp-out-in-front-of-the-cheese-shop-for/BestOf?oid=4101390
Best use of alcohol at breakfast 	"[u""Burton's Maplewood Farm rum-infused maple syrup""]"	http://www.chicagoreader.com/chicago/best-use-of-alcohol-at-breakfast/BestOf?oid=4101391
Best university coffeehouse 	[u'Hallowed Grounds']	http://www.chicagoreader.com/chicago/best-university-coffeehouse/BestOf?oid=4101393
Best bakery you've never heard of 	[u'Pastel Bakery']	http://www.chicagoreader.com/chicago/best-bakery-youve-never-heard-of/BestOf?oid=4101397
Best place to see bakers at work 	[u'Floriole Cafe and Bakery']	http://www.chicagoreader.com/chicago/best-place-to-see-bakers-at-work/BestOf?oid=4101398
Best place for ambience and egg sandwiches 	[u'Billy Goat Tavern']	http://www.chicagoreader.com/chicago/best-place-for-ambience-and-egg-sandwiches/BestOf?oid=4101399
Best bagel 	[u'New York Bagel & Bialy']	http://www.chicagoreader.com/chicago/best-bagel/BestOf?oid=4101410
Best tubular collaboration 	"[u""Lil' Johnny's birria sausages""]"	http://www.chicagoreader.com/chicago/best-tubular-collaboration/BestOf?oid=4101411
Best sausage 	[u'Bobak Sausage Company']	http://www.chicagoreader.com/chicago/best-sausage/BestOf?oid=4101412
Best place in Chicago to sample salumi from Mario Batali's papa 	[u'694 Wine & Spirits']	http://www.chicagoreader.com/chicago/best-place-in-chicago-to-sample-salumi-from-mario-batalis-papa/BestOf?oid=4101413
Best broccoli and shells con patio 	"[u""Tufano's Vernon Park Tap""]"	http://www.chicagoreader.com/chicago/best-broccoli-and-shells-con-patio/BestOf?oid=4101414
Best fancy-pants pizza special 	[u'Three Aces']	http://www.chicagoreader.com/chicago/best-fancy-pants-pizza-special/BestOf?oid=4101415
Best Polish-Mexican-American $1.50 taco 	[u'Loncars Liquors']	http://www.chicagoreader.com/chicago/best-polish-mexican-american-150-taco/BestOf?oid=4101416
Best tater tots 	[u'The Rocking Horse']	http://www.chicagoreader.com/chicago/best-tater-tots/BestOf?oid=4101417
Best spinach pie 	[u'Taza Bakery']	http://www.chicagoreader.com/chicago/best-spinach-pie/BestOf?oid=4101419
Best som tam 	[u'TAC Quick']	http://www.chicagoreader.com/chicago/best-som-tam/BestOf?oid=4101420
Best soundtracked strawberry shake 	[u'M Burger']	http://www.chicagoreader.com/chicago/best-soundtracked-strawberry-shake/BestOf?oid=4101498
Best newly minted (if loosely defined) neighborhood for destination dining 	[u'Noble Square']	http://www.chicagoreader.com/chicago/best-newly-minted-if-loosely-defined-neighborhood-for-destination-dining/BestOf?oid=4101624
Best hangout after a day at Rogers Park's beaches 	[u'RoPa Restaurant & Wine Bar']	http://www.chicagoreader.com/chicago/best-hangout-after-a-day-at-rogers-parks-beaches/BestOf?oid=4101655
Best few square blocks to eat really well, and cheaply 	[u'Lawrence between Rockwell and California']	http://www.chicagoreader.com/chicago/best-few-square-blocks-to-eat-really-well-and-cheaply/BestOf?oid=4101657
Best place to feel bad about gentrification but good about your meal 	[u'M. Henrietta']	http://www.chicagoreader.com/chicago/best-place-to-feel-bad-about-gentrification-but-good-about-your-meal/BestOf?oid=4101658
Best restaurant staff bent on making your day 	[u'Birchwood Kitchen']	http://www.chicagoreader.com/chicago/best-restaurant-staff-bent-on-making-your-day/BestOf?oid=4101659
Best one-woman kitchen 	[u'Noon Hour Grill']	http://www.chicagoreader.com/chicago/best-one-woman-kitchen/BestOf?oid=4101660
Most underrated James Beard Award winner 	[u'Justin Kaufmann, WBEZ']	http://www.chicagoreader.com/chicago/most-underrated-james-beard-award-winner/BestOf?oid=4101661
Best new food blog 	[u'mariobatalivoice.blogspot.com']	http://www.chicagoreader.com/chicago/best-new-food-blog/BestOf?oid=4101662
Best food blog written by a linguist 	[u'shesimmers.com']	http://www.chicagoreader.com/chicago/best-food-blog-written-by-a-linguist/BestOf?oid=4101663
Best place to eat and drink for a good cause 	[u'Blue Sky Bakery & Cafe']	http://www.chicagoreader.com/chicago/best-place-to-eat-and-drink-for-a-good-cause/BestOf?oid=4101664
Best CSA farmer to swoon over 	[u'Rob Montalbano of Montalbano Farms']	http://www.chicagoreader.com/chicago/best-csa-farmer-to-swoon-over/BestOf?oid=4101665
Best canine control at a farmers' market 	[u'Glenwood Sunday Market\n']	http://www.chicagoreader.com/chicago/best-canine-control-at-a-farmers-market/BestOf?oid=4101666
Best craft brewery that doesn't exist yet 	[u'Pipeworks']	http://www.chicagoreader.com/chicago/best-craft-brewery-that-doesnt-exist-yet/BestOf?oid=4101667
Best cocktail book club 	[u'The Whistler']	http://www.chicagoreader.com/chicago/best-cocktail-book-club/BestOf?oid=4101668
